Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date,Placement_Offer_Count
80,85,63,84,2021,2
73,89,70,93,2020,3
77,90,70,80,2019,2
67,85,68,94,2019,3
65,80,63,81,2020,2
77,87,74,93,2020,3
64,84,64,87,2021,3
77,75,75,87,2018,3
60,86,69,94,2021,3
70,75,60,84,2018,2
76,83,71,76,2018,2
76,87,74,92,2021,3
73,79,78,77,2021,2
80,83,77,84,2021,2
79,82,66,76,2020,2
74,75,80,78,2019,2
66,87,77,96,2018,3
75,87,69,89,2020,3
70,83,68,91,2019,3
65,80,75,95,2018,3
61,79,67,75,2018,2
60,84,76,76,2019,2
77,75,60,85,2020,3
69,76,73,100,2020,3
74,79,65,88,2018,3
62,86,71,90,2018,3
80,75,71,92,2021,3
79,86,79,85,2018,3
73,77,70,98,2020,3
80,76,63,82,2020,2
